machine_id,kpi_id,label,pred_label
0,0,1,1
0,1,1,1
0,2,1,1
0,3,1,1
0,4,1,1
0,5,1,2
0,6,1,2
0,7,1,2
0,8,1,2
0,9,1,2
0,10,1,2
0,11,1,2
0,12,1,2
0,13,1,2
0,14,1,2
0,15,1,1
0,16,1,2
0,17,2,2
1,0,1,1
1,1,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,1,2
1,6,1,2
1,7,1,2
1,8,1,2
1,9,1,2
1,10,1,2
1,11,1,2
1,12,1,2
1,13,1,2
1,14,1,2
1,15,1,2
1,16,1,2
1,17,1,2
2,0,1,1
2,1,1,1
2,2,1,1
2,3,1,1
2,4,1,1
2,5,1,2
2,6,1,2
2,7,1,2
2,8,1,2
2,9,1,2
2,10,1,2
2,11,1,2
2,12,1,2
2,13,1,2
2,14,1,2
2,15,1,2
2,16,1,2
2,17,1,2
3,0,1,1
3,1,1,1
3,2,1,1
3,3,1,1
3,4,1,1
3,5,1,2
3,6,1,2
3,7,1,2
3,8,1,2
3,9,1,2
3,10,1,2
3,11,1,2
3,12,1,2
3,13,1,2
3,14,1,2
3,15,1,2
3,16,1,2
3,17,1,2
4,0,1,1
4,1,1,1
4,2,1,1
4,3,1,1
4,4,1,1
4,5,1,2
4,6,1,2
4,7,1,2
4,8,1,2
4,9,1,2
4,10,1,2
4,11,1,2
4,12,1,2
4,13,1,2
4,14,1,2
4,15,1,2
4,16,1,2
4,17,1,2
5,0,1,1
5,1,1,1
5,2,1,1
5,3,1,1
5,4,1,1
5,5,0,2
5,6,0,2
5,7,0,2
5,8,0,2
5,9,0,2
5,10,1,2
5,11,1,2
5,12,1,2
5,13,1,2
5,14,1,2
5,15,0,2
5,16,0,2
5,17,1,2
6,0,1,1
6,1,1,1
6,2,1,1
6,3,1,1
6,4,1,1
6,5,0,2
6,6,0,2
6,7,0,2
6,8,0,2
6,9,0,2
6,10,1,2
6,11,1,2
6,12,1,2
6,13,1,2
6,14,1,2
6,15,0,2
6,16,0,2
6,17,1,2
7,0,1,1
7,1,1,1
7,2,1,1
7,3,1,1
7,4,1,1
7,5,1,2
7,6,2,1
7,7,1,2
7,8,1,2
7,9,1,2
7,10,1,2
7,11,1,2
7,12,1,2
7,13,1,2
7,14,1,2
7,15,1,2
7,16,1,2
7,17,1,2
8,0,1,1
8,1,1,1
8,2,1,1
8,3,1,1
8,4,1,1
8,5,0,2
8,6,0,2
8,7,0,2
8,8,0,2
8,9,0,2
8,10,1,2
8,11,1,2
8,12,1,2
8,13,1,2
8,14,1,2
8,15,0,2
8,16,0,2
8,17,1,2
9,0,1,1
9,1,1,1
9,2,1,1
9,3,1,1
9,4,1,1
9,5,1,2
9,6,1,2
9,7,1,2
9,8,1,2
9,9,1,2
9,10,1,2
9,11,1,2
9,12,1,2
9,13,1,2
9,14,1,2
9,15,1,2
9,16,1,2
9,17,1,2
10,0,1,1
10,1,1,1
10,2,1,1
10,3,1,1
10,4,1,1
10,5,1,2
10,6,1,2
10,7,1,2
10,8,1,2
10,9,1,2
10,10,1,2
