predicion,recall
0.07278020378457059,1.0
0.0721048798252003,0.99
0.07215743440233237,0.99
0.07221006564551423,0.99
0.07226277372262774,0.99
0.0723155588020453,0.99
0.07236842105263158,0.99
0.07242136064374542,0.99
0.07247437774524158,0.99
0.07252747252747253,0.99
0.07258064516129033,0.99
0.07263389581804842,0.99
0.07268722466960352,0.99
0.07274063188831742,0.99
0.07279411764705883,0.99
0.0728476821192053,0.99
0.07290132547864507,0.99
0.07295504789977893,0.99
0.07227138643067847,0.98
0.07232472324723248,0.98
0.0723781388478582,0.98
0.07243163340724317,0.98
0.07248520710059171,0.98
0.07253886010362694,0.98
0.0725925925925926,0.98
0.072646404744255,0.98
0.07270029673590504,0.98
0.07280832095096583,0.98
0.07286245353159851,0.98
0.07291666666666667,0.98
0.07297096053611318,0.98
0.07302533532041729,0.98
0.07307979120059657,0.98
0.07238805970149254,0.97
0.07244212098581031,0.97
0.07174887892376682,0.96
0.07180254300673149,0.96
0.0718562874251497,0.96
0.07191011235955057,0.96
0.07196401799100449,0.96
0.07126781695423856,0.95
0.07132132132132132,0.95
0.07137490608564989,0.95
0.07142857142857142,0.95
0.07148231753197894,0.95
0.07153614457831325,0.95
0.07159005275056518,0.95
0.07169811320754717,0.95
0.07175226586102719,0.95
0.07180650037792895,0.95
0.0718608169440242,0.95
0.07191521574564724,0.95
0.07196969696969698,0.95
0.07202426080363912,0.95
0.07207890743550835,0.95
0.0721336370539104,0.95
0.07218844984802432,0.95
0.07224334600760456,0.95
0.0715372907153729,0.94
0.0715917745620716,0.94
0.07164634146341463,0.94
0.07170099160945843,0.94
0.0717557251908397,0.94
0.07186544342507645,0.94
0.07192042846212701,0.94
0.07197549770290965,0.94
0.07203065134099616,0.94
0.07208588957055215,0.94
0.07214121258633922,0.94
0.07219662058371736,0.94
0.0722521137586472,0.94
0.07230769230769231,0.94
0.07236335642802155,0.94
0.0724191063174114,0.94
0.07247494217424827,0.94
0.07253086419753087,0.94
0.07258687258687259,0.94
0.07264296754250386,0.94
0.07269914926527456,0.94
0.07275541795665634,0.94
0.07281177381874517,0.94
0.07286821705426356,0.94
0.07292474786656322,0.94
0.07298136645962733,0.94
0.07303807303807304,0.94
0.07309486780715396,0.94
0.07315175097276265,0.94
0.07320872274143302,0.94
0.0724863600935308,0.93
0.07254290171606864,0.93
0.07259953161592506,0.93
0.07265625,0.93
0.0727130570758405,0.93
0.07276995305164319,0.93
